frame,x,y,vx,vy,confidence,detected
213,,,,,,False
214,,,,,,False
215,,,,,,False
216,871.0,398.0,3.0,5.5,0.573630690574646,True
217,873.0,406.0,2.0,8.0,0.6935427784919739,True
218,875.0,415.0,2.0,9.0,0.7410535216331482,True
219,875.0,415.0,0.0,0.0,0.740935742855072,True
220,877.0,423.0,2.0,8.0,0.6645012497901917,True
221,,,,,,False
222,,,,,,False
223,,,,,,False
224,,,,,,False
225,,,,,,False
226,,,,,,False
227,,,,,,False
228,882.0,539.0,0.625,14.5,0.5560061931610107,True
229,,,,,,False
230,,,,,,False
231,,,,,,False
232,,,,,,False
233,,,,,,False
234,,,,,,False
235,,,,,,False
236,,,,,,False
237,,,,,,False
238,,,,,,False
239,,,,,,False
240,,,,,,False
241,973.0,454.0,7.0,-6.538461538461538,0.5289761424064636,True
242,,,,,,False
243,,,,,,False
244,,,,,,False
245,979.0,214.0,1.5,-60.0,0.5033054947853088,True
246,979.0,213.0,0.0,-1.0,0.5205997824668884,True
247,979.0,213.0,0.0,0.0,0.5088978409767151,True
248,,,,,,False
249,,,,,,False
250,979.0,213.0,0.0,0.0,0.5282244682312012,True
251,980.0,213.0,1.0,0.0,0.5428462028503418,True
252,980.0,214.0,0.0,1.0,0.5132712125778198,True
253,,,,,,False
254,,,,,,False
255,981.0,214.0,0.3333333333333333,0.0,0.5006845593452454,True
256,,,,,,False
257,,,,,,False
258,,,,,,False
259,,,,,,False
260,,,,,,False
261,,,,,,False
262,,,,,,False
263,,,,,,False
264,,,,,,False
265,,,,,,False
266,,,,,,False
267,,,,,,False
268,,,,,,False
269,,,,,,False
270,,,,,,False
271,,,,,,False
272,,,,,,False
273,,,,,,False
274,,,,,,False
275,981.0,213.0,0.0,-0.05,0.5221604108810425,True
276,981.0,215.0,0.0,2.0,0.537288248538971,True
277,981.0,216.0,0.0,1.0,0.5901967287063599,True
278,980.0,217.0,-1.0,1.0,0.6202836632728577,True
279,979.0,218.0,-1.0,1.0,0.5950660705566406,True
280,979.0,218.0,0.0,0.0,0.5701160430908203,True
281,979.0,220.0,0.0,2.0,0.5248714089393616,True
282,979.0,220.0,0.0,0.0,0.5400536060333252,True
283,979.0,219.0,0.0,-1.0,0.5397992134094238,True
284,978.0,219.0,-1.0,0.0,0.5698556303977966,True
285,978.0,218.0,0.0,-1.0,0.6089065074920654,True
286,978.0,217.0,0.0,-1.0,0.554734468460083,True
287,978.0,215.0,0.0,-2.0,0.5209267735481262,True
288,,,,,,False
289,,,,,,False
290,,,,,,False
291,,,,,,False
292,,,,,,False
293,,,,,,False
294,,,,,,False
295,,,,,,False
296,,,,,,False
297,,,,,,False
298,,,,,,False
299,,,,,,False
300,,,,,,False
301,,,,,,False
302,,,,,,False
303,,,,,,False
304,,,,,,False
305,,,,,,False
306,,,,,,False
307,,,,,,False
308,,,,,,False
309,,,,,,False
310,,,,,,False
311,,,,,,False
312,,,,,,False
313,,,,,,False
314,,,,,,False
315,,,,,,False
316,,,,,,False
317,,,,,,False
318,,,,,,False
319,,,,,,False
320,,,,,,False
321,,,,,,False
322,,,,,,False
323,,,,,,False
324,,,,,,False
325,,,,,,False
326,,,,,,False
327,1256.0,317.0,6.95,2.55,0.7837877869606018,True
328,1254.0,306.0,-2.0,-11.0,0.6764664053916931,True
329,,,,,,False
330,,,,,,False
331,,,,,,False
332,,,,,,False
333,,,,,,False
334,,,,,,False
335,,,,,,False
336,,,,,,False
337,,,,,,False
338,,,,,,False
339,1219.0,239.0,-3.1818181818181817,-6.090909090909091,0.609905481338501,True
340,1215.0,238.0,-4.0,-1.0,0.7373330593109131,True
341,1212.0,237.0,-3.0,-1.0,0.7405519485473633,True
342,1210.0,237.0,-2.0,0.0,0.7253446578979492,True
343,1208.0,238.0,-2.0,1.0,0.6910005807876587,True
344,1204.0,240.0,-4.0,2.0,0.5184164643287659,True
345,,,,,,False
346,,,,,,False
347,,,,,,False
348,1192.0,255.0,-3.0,3.75,0.6732675433158875,True
349,1189.0,262.0,-3.0,7.0,0.753939151763916,True
350,1186.0,268.0,-3.0,6.0,0.7519040107727051,True
351,1184.0,276.0,-2.0,8.0,0.5998839735984802,True
352,1182.0,284.0,-2.0,8.0,0.7085704207420349,True
353,,,,,,False
354,,,,,,False
355,,,,,,False
356,,,,,,False
357,1170.0,339.0,-2.4,11.0,0.6873011589050293,True
358,1170.0,339.0,0.0,0.0,0.6838362812995911,True
359,1167.0,352.0,-3.0,13.0,0.6189889311790466,True
360,,,,,,False
361,,,,,,False
362,,,,,,False
363,,,,,,False
364,,,,,,False
365,,,,,,False
366,,,,,,False
367,,,,,,False
368,,,,,,False
369,,,,,,False
370,,,,,,False
371,,,,,,False
372,,,,,,False
373,,,,,,False
374,,,,,,False
375,,,,,,False
376,,,,,,False
377,,,,,,False
378,,,,,,False
379,,,,,,False
380,,,,,,False
381,,,,,,False
382,,,,,,False
383,,,,,,False
384,,,,,,False
385,,,,,,False
386,,,,,,False
387,,,,,,False
388,,,,,,False
389,,,,,,False
390,,,,,,False
391,,,,,,False
392,,,,,,False
393,,,,,,False
394,,,,,,False
395,,,,,,False
396,,,,,,False
397,,,,,,False
398,,,,,,False
399,,,,,,False
400,,,,,,False
401,,,,,,False
402,,,,,,False
403,,,,,,False
404,,,,,,False
405,,,,,,False
406,,,,,,False
407,,,,,,False
408,,,,,,False
409,,,,,,False
410,,,,,,False
411,,,,,,False
412,,,,,,False
413,,,,,,False
414,,,,,,False
415,,,,,,False
416,,,,,,False
417,,,,,,False
418,,,,,,False
419,,,,,,False
420,,,,,,False
421,,,,,,False
422,,,,,,False
423,,,,,,False
424,,,,,,False
425,,,,,,False
426,,,,,,False
427,,,,,,False
428,,,,,,False
429,,,,,,False
430,,,,,,False
431,,,,,,False
432,,,,,,False
433,,,,,,False
434,,,,,,False
435,,,,,,False
436,,,,,,False
437,,,,,,False
438,,,,,,False
439,,,,,,False
440,,,,,,False
441,,,,,,False
442,,,,,,False
443,,,,,,False
444,,,,,,False
445,,,,,,False
446,,,,,,False
447,,,,,,False
448,,,,,,False
449,,,,,,False
450,,,,,,False
